,Animal Type,Sex Upon Outcome,Normalized Age,Breed,Color,Outcome
353,Dog,Intact Female,-0.24751939325776187,Boxer/Pit Bull,Black/White,0
354,Cat,Spayed Female,0.015276786066686834,Domestic Shorthair Mix,Tortie,0
355,Other,Unknown,-0.39557357879266253,Bat Mix,Brown,1
356,Dog,Neutered Male,-0.39187222415429,Siberian Husky,Black/Gray,0
357,Other,Unknown,-0.058750306700763505,Fox,Gray,1
358,Cat,Spayed Female,-0.6592950967767044,Domestic Shorthair Mix,Orange Tabby/White,0
359,Cat,Neutered Male,-0.6463403555424005,Domestic Shorthair Mix,Blue,0
360,Other,Unknown,-0.3964989174522557,Bat,Gray,1
361,Dog,Intact Female,-0.6759511926493807,Labrador Retriever/Pit Bull,Tan,1
362,Dog,Neutered Male,-0.5861933426688472,Labrador Retriever Mix,Black/White,0
363,Dog,Intact Male,0.8702897075307382,Pit Bull Mix,Brown/White,0
364,Cat,Spayed Female,-0.6741005153301944,Domestic Shorthair Mix,White,0
365,Dog,Spayed Female,1.2441265260063623,Siberian Husky,White/Black,0
366,Cat,Intact Male,0.2799236427103218,Domestic Shorthair Mix,Black/White,1
367,Dog,Neutered Male,-0.5593585215406465,Border Collie Mix,White/Black,0
368,Cat,Intact Male,-0.7314715122249684,Domestic Shorthair,Brown Tabby/White,0
369,Dog,Neutered Male,-0.3530080004513786,Siberian Husky,Red/White,0
370,Dog,Spayed Female,-0.36226138704730987,Rat Terrier Mix,Tricolor,0
371,Dog,Neutered Male,-0.6195055344141999,Black Mouth Cur Mix,Tan,0
372,Dog,Neutered Male,-0.047646242785645956,German Shepherd/Pit Bull,Brown,0
373,Dog,Neutered Male,0.1216907319198967,Black Mouth Cur Mix,Tan,0
374,Cat,Intact Male,0.2799236427103218,Domestic Medium Hair,Gray Tabby,1
375,Dog,Intact Male,2.6487906112687325,Pit Bull Mix,Brown/White,1
376,Cat,Intact Male,-0.713890077692699,Domestic Shorthair Mix,Brown Tabby,0
377,Other,Unknown,-0.3964989174522557,Raccoon Mix,Gray/Black,1
378,Other,Unknown,-0.5926707132859991,Guinea Pig Mix,Red/White,0
379,Cat,Neutered Male,-0.6629964514150769,Domestic Medium Hair Mix,Black,0
380,Dog,Spayed Female,-0.6176548570950136,Boxer Mix,Brown/White,0
381,Dog,Neutered Male,1.2940948136243913,Chihuahua Shorthair Mix,Tricolor,0
382,Other,Unknown,-0.39557357879266253,Bat Mix,Brown,1
383,Dog,Neutered Male,0.28177432002950803,Chihuahua Shorthair/Dachshund,Black/White,0
384,Cat,Spayed Female,-0.642639000904028,Domestic Longhair Mix,Black/White,0
385,Cat,Neutered Male,-0.18737238038420848,Domestic Shorthair Mix,Black,0
386,Cat,Neutered Male,-0.6259829050313517,Domestic Shorthair Mix,Orange Tabby,0
387,Cat,Neutered Male,-0.5575078442214602,Domestic Shorthair,Blue,0
388,Dog,Intact Female,-0.05782496804117038,Alaskan Husky,Black/White,0
389,Other,Unknown,-0.05782496804117038,Bat,Brown,1
390,Dog,Spayed Female,-0.6222815503929792,Chihuahua Shorthair/Dachshund,Tan,0
391,Cat,Neutered Male,1.0146425384272664,Domestic Shorthair,Brown Tabby,0
392,Other,Unknown,-0.39464824013306943,Bat Mix,Brown,1
393,Other,Unknown,-0.05782496804117038,Bat Mix,Brown,1
394,Cat,Spayed Female,-0.39187222415429,Domestic Shorthair Mix,Brown Tabby,0
395,Dog,Intact Male,-0.6629964514150769,Rottweiler Mix,Black/Tan,0
396,Cat,Neutered Male,-0.6602204354362975,Domestic Shorthair Mix,Brown Tabby,0
397,Dog,Neutered Male,1.2293211074528723,Harrier/Catahoula,White/Brown,0
398,Cat,Neutered Male,-0.6750258539897875,Domestic Shorthair Mix,White/Black,0
399,Dog,Spayed Female,-0.023587437636224593,German Shepherd/Alaskan Husky,White,0
400,Cat,Unknown,-0.7194421096502578,Domestic Shorthair Mix,Blue Tabby/White,0
401,Dog,Intact Male,-0.700009997798802,Australian Kelpie Mix,Tricolor,0
402,Cat,Neutered Male,-0.6148788411162341,Domestic Shorthair Mix,Black/White,0
403,Dog,Spayed Female,-0.6454150168828074,Chihuahua Shorthair,Tan/White,0
404,Dog,Neutered Male,-0.5602838602002396,Chihuahua Shorthair Mix,Brown/Black,0
